full_name,height
"Roumane, Rayane",1.93
"Catini, Niccolo",1.78
"Slump, Stijn",1.85
"Mott, Blake",1.8
"Badosa, Paula",1.8
"Weber, Arthur",1.85
"Escoffier, Antoine",1.85
"Andreev, Adrian",1.8
"Seyboth Wild, Thiago",1.85
"Cachin, Pedro",1.85
"Zidanšek, Tamara",1.68
"Pouille, Lucas",1.85
"Özgen, Pemra",1.7
"Bondar, Anna",1.75
"Wickmayer, Yanina",1.82
"Britto, Luis",1.78
"Cuevas, Martín",1.91
"March, Antonio Cayetano",1.75
"Gomez, Federico Agustin",1.91
"Bervid, Victoria",1.9
"Evtimova, Dia",1.68
"Mbithi, Mwendwa",2.0
"Villoslada, Edouard",1.8
Goncalves Ceolin J.,1.8
"Bradshaw, Jacob",1.88
"Kumasaka, Takuya",1.75
"Mochizuki, Yuki",1.73
"Giotis, Rafael",1.75
"Potenza, Luca",1.78
"Milev, Yanaki",1.8
"Ajduković, Duje",1.88
"Tsitsipas, Stefanos",1.93
"Bicknell, Blaise",1.91
"Phillips, Rowland",1.83
"Escobedo, Ernesto",1.85
"Pacheco Méndez, Rodrigo",1.88
"Kicker, Nicolas",1.78
"Olivo, Renzo",1.78
"Collarini, Andrea",1.83
"Bouzige, Moerani",1.8
"Gaal, Corey",1.88
"Romios, Matthew Christopher",1.85
"Watanabe, Seita",1.8
"Shanmugam, Abhinav Sanjeev",1.78
"Bathrinath, Lohithaksha",1.85
"Valkusz, Máté",1.83
"Vasa, Eero",1.85
"Dong, Zhenxiong",1.93
"Herbert, Pierre Hugues",1.88
"Cascino, Estelle",1.66
"Mchugh, Aidan",1.8
"Canter, Alexis",1.8
"Klintcharov, Alexander",1.88
"Oliel, Yshai",1.88
"Snitari, Ilya",1.88
"Balleret, Benjamin",1.83
"Popa, Maria Sara",1.73
"Stefanini, Lucrezia",1.64
"Cadanțu-Ignatik, Alexandra",1.7
"King, Darian",1.88
"Rodriguez Taverna, Santiago",1.91
"Giannessi, Alessandro",1.85
"Rompies, Jessy",1.69
"Braithwaite, Thomas",1.85
"Delaney, Jesse",1.73
"Tajima, Naoki",1.73
"Harper, Mitchell",1.75
"Walkin, Brandon",1.88
"Liu, Hanyi",1.85
"Isomura, Kokoro",1.75
"Court, Jayden",1.91
"Marinkov, Pavle",1.88
"Pearson, Kody",1.78
"Jones, Scott",1.7
"Sureshkumar, Manish",1.8
"Ho, Ray",1.88
"Pokorny, Lukas",1.91
"Krawietz, Kevin",1.88
"Raisma, Kenneth",1.93
"Gigante, Matteo",1.8
"Moro Canas, Alejandro",1.83
"Eikeri, Ulrikke",1.72
"Arcangioli, Manon",1.62
"Poljak, David",1.88
"Miedler, Lucas",1.83
"Chazal, Maxime",1.75
"Garcia, Caroline",1.77
"Janvier, Maxime",1.96
"Podoroska, Nadia",1.7
"Hemery, Calvin",1.91
"Bara, Irina",1.64
"Udvardy, Panna",1.7
"Ficovich, Juan Pablo",1.88
"Arias, Boris",1.85
"Huertas Del Pino Cordova, Arklon",1.83
"Ellis, Blake",1.91
"Sanchez Izquierdo, Nikolas",1.85
"Rezai, Aravane",1.65
"Matusevich, Anton",1.85
"Paquet, Chloe",1.79
"Svajda, Trevor",1.75
"Bouquet, Lucas",1.85
"Renard, Lucas",1.83
"Vondroušová, Markéta",1.72
"Kokkinakis, Thanasi",1.93
"Caruso, Salvatore",1.85
"Kirkin, Ergi",1.8
"Vandermeersch, Cyril",1.8
"Kirchheimer, Strong",1.85
"Ponwith, Nathan",1.88
"Oliveira, Gonçalo",1.85
"O'Connell, Christopher",1.83
"Blancaneaux, Geoffrey",1.8
"Di Natale, Gian Matias",1.78
"Vocel, Matěj",1.88
"Donald, Matthew",1.75
"Prižmić, Dino",1.88
"Ayeni, Alafia",1.91
"Schachter, Noah",1.88
"Altamirano, Collin",1.88
"Pichler, David",1.78
"Curras Abasolo, Tomas",1.73
"Picchione, Andrea",1.83
"De Jong, Jesper",1.8
"Lokoli, Laurent",1.88
"Nijboer, Ryan",1.8
"Voisin, Emilien",1.78
"Skorilas, Alexandros",1.85
"Ferrari, Gianmarco",1.91
"Kovalik, Jozef",1.83
"Squire, Henri",1.96
"Kobelt, Nicolas",1.73
"Boyer, Tristan",1.85
"Lemstra, Kai",1.88
"Kym, Jerome",1.98
"Colson, Tibo",1.96
"Evans, Daniel",1.75
"Fils, Arthur",1.85
"MO, YE Cong",1.83
"Vale, Duarte",1.83
"Isarow, Pruchya",1.75
"Brunold, Mika",1.91
"Kopp, Sandro",1.85
"Gauff, Cori",1.75
"Broady, Liam",1.83
"Noha Akugue, Noma",1.7
"Shang, Juncheng",1.8
"Angele, Jaimee Floyd",2.06
"Perez Sanz, David",1.8
"Butulija, Boris",1.85
"Samrej, Kasidit",1.91
"Popyrin, Alexei",1.96
"Zverev, Alexander",1.98
"Fonseca, Joao",1.85
"Liu, Claire",1.7
"Wessels, Louis",1.98
"Hilderbrand, Trey",1.96
"Bai, Yan",1.85
"Gimeno Valero, Carlos",1.91
"Heinonen, Adam",1.88
"Mccormick, Tristan",1.96
"Couacaud, Enzo",1.83
"Novak, Dennis",1.83
"Kestelboim, Mariano",1.85
"Fernandez, Bruno",1.85
"Boscardin Dias, Pedro",1.8
"Arnaud Bailly, Gilles",1.8
"Heck, Hunter",1.73
"Gerch, Lucas",1.93
"Houkes, Max",1.88
"Kotov, Pavel",1.91
"Cekirge, Kuzey",1.85
"Hellum Lilleengen, Lukas",1.8
"Brancaccio, Raul",1.85
"Misolic, Filip",1.8
"Ciurletti, Andres Gabriel",1.75
"Alvarado Berrospi, Alberto Odiseo",1.88
"Inui, Yuichiro",1.85
"Gaio, Federico",1.78
"Basic, Mirza",1.88
"Zhang, Shuai",1.77
"Ivashka, Ilya",1.93
"Zusman, Richard",1.73
"Simonit, Ezequiel",1.75
"Gagliardo, Lorenzo",1.75
"Franco, Tobias",1.78
"Watt, James",2.06
"Okamura, Issei",1.7
"Cook, Ethan",1.75
"Sorensen, Luke",1.93
"Ricca, Giorgio",1.93
"Beaupain, Simon",1.78
"Savinykh, Valeria",1.67
"Butvilas, Edas",1.91
"Svitolina, Elina",1.74
"Zarazúa, Renata",1.6
"Klaffner, Melanie",1.71
"Aney, Jessie",1.7
"Miyoshi, Kenta",1.85
"Soto, Matias",1.7
"Aggarwal, Parth",1.7
"Matsuda, Ryuki",1.57
"Cortegiani, Alessandro",1.78
"Horak, Vitek",1.78
"Pérez, Brandon",1.91
"Molino, Javier",1.68
"Yuzuki, Takeru",1.96
"Stevenson, Kelsey",1.83
"Bourgue, Mathias",1.88
"Rogers, Shelby",1.75
"Ortenzi, Gian Marco",1.83
"Reddy, Rishi",1.88
"Jebens, Hendrik",1.96
"Freund, Simon",1.78
"Denisov, Ivan",1.8
"Bulus, Christopher",1.83
"Sheyngezikht, Leonid",1.88
"Ratti, Lucio",1.83
"Pegula, Jessica",1.7
"Medvedev, Daniil",1.98
"Draper, Jack",1.93
"Yunchaokete, Bu",1.85
"Draxl, Liam",1.85
"Sakamoto, Pedro",1.78
"Rodriguez, Lorenzo Joaquin",1.93
"Mladenovic, Kristina",1.84
"Vandewinkel, Hanne",1.78
"Djuric, Branko",1.88
"Selekhmeteva, Oksana",1.72
"Krumich, Martin",1.88
"La Vela, Giuseppe",1.8
"Kielan, Szymon",1.96
"Zakaryia, Faris",1.85
"Nicod, Jakub",1.83
"Budkov Kjaer, Nicolai",1.88
"Sanchez Quilez, Alejo",1.8
"Smith, Keegan",1.98
"Camus, Charlie",1.75
"Townsend, Taylor",1.7
"Anisimova, Amanda",1.8
"Aboian, Valerio",1.83
"Egea, Franco Emanuel",1.8
"Aboian, Leonardo",1.75
"Donski, Alexander",1.88
"Aksu, Cengiz",1.83
"Shiraishi, Hikaru",1.68
"Sun, Fajing",1.78
"Ruse, Elena Gabriela",1.73
"Radulov, Iliyan",1.87
"Okonkwo, Oliver",1.88
"Tien, Learner",1.8
"Binda, Alexandr",1.75
"Mu, Tao",1.8
"Milojević, Nikola",1.88
"Kulikova, Anastasia",1.77
"Nadaf, Hamid Reza",1.83
"Kirci, Koray",1.85
"Ryan Ziegann, Sam",1.91
"Torres, Benjamin",1.75
"Ujvary, Matthias",1.8
"Pavel, Bogdan",1.93
"Donev, Gabriel",1.8
"Bonadio, Riccardo",1.8
"Van Emburgh, Jake",1.91
"Crawford, Oliver",1.8
"Sabalenka, Aryna",1.82
"Loof, Thijmen",1.96
"Tjandramulia, Olivia",1.7
"Pennaforti, Gabriele",1.91
"Bu, Yunchaokete",1.85
"Tomescu, Dan Alexandru",1.83
"Alvarez Varona, Nicolas",1.88
"Garcia Mestre, Jordi",1.78
"Bogo, Enrique",1.85
"El Sallaly, Akram",1.75
"Berkieta, Tomasz",1.91
"Duda, Filip",1.83
"Genov, Anthony",1.85
"Bellifemine, Alessandro",1.83
"Bataljin, Lawrence",1.73
"Fantini, Luca",1.78
"Biljesko, Domagoj",1.91
"Bondioli, Federico",1.85
"King, Evan",1.85
"Cabrera, Miguel Angel",1.68
"Keys, Madison",1.78
"Giorgi, Camila",1.68
"Wozniacki, Caroline",1.77
"Nakagawa, Naoki",1.8
"Valsecchi, Paul",1.88
"Te, Rigele",1.88
"Folliot, Quentin",1.8
"Kumar, Omni",1.75
"Bacaloni, Andrea",1.78
"Madarasz, Gergely",1.8
"Bodmer, Adrian",1.8
"Jiménez Kasintseva, Victoria",1.8
"Kerber, Angelique",1.73
"Nadal, Rafael",1.85
"Sherif, Mayar",1.8
"Leshem, Edan",1.83
"Arnaboldi, Federico",1.85
"Williams, Venus",1.85
"Wolf, Jeffrey John",1.83
"Loffhagen, George",1.88
"Evans, Gabriel",1.78
"Carraro, Luciano",1.83
"Batista, Daniel",1.83
"Sheehy, Joshua",1.88
"Paszek, Tamira",1.65
"Rodina, Evgeniya",1.7
"Nishiwaki, Kazuki",1.78
"Margaroli, Luca",1.83
"Gombos, Norbert",1.93
"Iradukunda, Guy Orly",1.91
"Zeballos, Federico",1.85
"Lojda, Dušan",1.88
"Hsieh, Su-Wei",1.69
"Ibragimov, Daniel",1.8
"Atlangeriev, Bekkhan",1.85
"Van Orderlain, Drew",1.73
"Ćubelić, Karlo",1.88
"Genier, Tanguy",1.85
"Houghton, George",1.83
"Escurra Isnardi, Hernando Jose",1.83
"Ouakaa, Aziz",1.85
"Tumasonis, Gabriel Pascotto",1.75
"Huertas del Pino, Conner",1.88
"Romboli, Fernando",1.8
"Zormann, Marcelo",1.8
"Urrea, Andres",1.75
"Maginley, Herbert Jody",1.93
"Raquillet, Leo",1.91
"Djokovic, Novak",1.88
"Volonski, Nikita",1.8
"Matsuda, Koki",1.83
"Uesugi, Kaito",1.8
"Masabayashi, Tomohiro",1.7
"Korovin, Mikhail",1.8
"Ilhan, Marsel",1.91
"Sakharov, Gleb",1.85
"De Vincentis, Matteo",1.88
"Konjuh, Ana",1.74
"Dzhanashia, Shalva",1.78
"Cazacu, Dragos Nicolae",1.8
"Bagnolini, Daniel",1.78
"Kaukovalta, Patrick",1.93
"Seguel, Daniela",1.71
"Dostanic, Stefan",1.88
"Međedović, Hamad",1.88
"Eqbal, Ishaque",1.7
"Sorrentino, Luigi",1.85
"Brunclik, Petr",1.88
"Rivet, Maxence",1.88
"Tosetto, Rafael",1.78
"Metreveli, Aleksandre",1.83
"Lomakin, Grigoriy",1.98
"Chepik, Alexander",1.93
"Loureiro, Joao Victor Couto",1.85
"Schell, Niklas",1.91
"Simundza, Josip",1.96
"Philippov, Evgeny",1.8
"Maamoun, Karim-Mohamed",1.75
"Michnev, Petr",1.88
"Legout, Timo",1.78
"Strode, Isaiah",1.83
"Inglis, Maddison",1.71
"Zekić, Miljan",1.85
"Topo, Marko",1.85
"Berrettini, Matteo",1.96
"Andaloro, Fabrizio",1.85
"Ferreira Silva, Frederico",1.78
"Beauge, Maxence",1.83
"Pecotić, Matija",1.85
"Hanzlik, Cash",1.85
"Lee, Kuan-Yi",1.78
"Luz, Orlando",1.8
"Kang, Kyle",1.83
"Basavareddy, Nishesh",1.8
"Artnak, Bor",1.93
"Browning, Tauheed",1.83
"Fery, Arthur",1.75
"De La Fuente, Santiago",1.75
"Nishikori, Kei",1.78
"Estevez, Juan",1.7
"Nam, Ji Sung",1.83
"Sumizawa, Daisuke",1.75
"Vanta, Valentin",1.8
"Mansilla Diez, Mario",1.8
"Debru, Gabriel",1.93
"Kawachi, Kazuma",1.7
"Orlikowski, Aleksander",1.8
"Schonenberg, Tom",1.85
Alex Hernández,1.75
"Cozbinov, Alexander",1.88
"Tokuda, Renta",1.78
"Fukuda, Sora",1.8
"Shin, Woobin",1.85
"Rawat, Sidharth",1.75
"Little, Daniel",1.88
"Liutarevich, Ivan",1.96
"Wallner, Mark",1.96
"Jecan, Alexandru",1.8
"Tsitsipas, Petros",1.83
"Halep, Simona",1.68
"Scaglia, Mathieu",1.8
"Iakubenko, Volodymyr",1.93
"Rosol, Lukas",1.93
"Baris, Ozan",1.85
"Horvat, Roko",1.91
"Chekhov, Anton",1.85
"Olivetti, Albano",2.03
"Dahlin, Max",1.88
"Winter Lopez, Benjamin",1.8
"Alvarado, Patricio",1.75
"Lim, Alizé",1.73
"Perez, Alfredo",1.93
"Reymond, Arthur",1.8
"Rajski, Maciej",1.93
"Vardhan, Vishnu",1.88
"Fajta, Peter",1.85
"Bellier, Antoine",1.96
"Spizzirri, Eliot",1.83
"Begu, Irina-Camelia",1.81
"Moeller, Elmer",1.83
"Braynin, Aleksandr",2.01
"Fassbender, Boris",1.83
"Hurrion, Millen",1.91
"Danilović, Olga",1.82
"Barnat, Jiri",1.83
"Seggerman, Ryan",1.93
"Siniakov, Daniel",1.83
"Grynkowski, Piotr",1.8
"Zhu, Evan",1.85
"Salazar, Amador",1.73
"Grabher, Julia",1.7
"Sharma, Astra",1.78
"Setkic, Aldin",1.91
"Souza, João",1.93
"Ito, Tatsuma",1.8
"Becerra Otarola, Ignacio Antonio",1.7
"Chepelev, Andrey",1.78
Murkel Dellien,1.91
"Blanch, Darwin",1.85
"Naef, Celine",1.67
"Pavlovic, Luka",1.96
"Matsuoka, Hayato",1.8
"Campana, Federico",1.75
"Nedic, Andrej",1.85
"Agwi, Michael",1.93
"Stewart, Hamish",1.93
"Marysko, Vincent",1.93
"Werren, Paul",1.78
"Fernandes, Rodrigo",1.8
"Sánchez Jover, Carlos",1.73
"Rivera, Leyton",1.83
"Naumovski, Mason",1.88
"Arconada, Usue Maitane",1.65
"Prabodh, Suraj R",1.88
"Kichenok, Nadiia",1.72
"Moghini, Gabriele",1.93
"Schiessl, João Eduardo",1.8
"Wu, Yibing",1.83
"Davis, Lauren",1.57
"Melichar-Martinez, Nicole",1.81
"Marti, Yann",1.7
"Mandlik, Elizabeth",1.7
"Tsitsipas, Pavlos",1.96
"Kuznetsov, Andrey",1.83
"Rispoli, Nicola",1.88
"Mayo, Keenan",1.98
"Mckennon, Maxwell",1.93
"Frusina, Alexander",1.8
"Kiger, Mac",1.85
"Andrade, Andrés",1.8
